Gene,log2FoldChange,pvalue,padj,minus_log10_pvalue,Change
SYT2,0.3314,0.379,0.9994,0.42136079,Similar
KDM5B,-0.04381,0.7943,0.9994,0.100015437,Similar
KDM5B-AS1,-0.08533,0.7756,0.9994,0.1103622,Similar
LOC641515,-0.1794,0.6469,0.9994,0.189162849,Similar
LOC148709,0.2676,0.4405,0.9994,0.356054087,Similar
RABIF,0.1794,0.4502,0.9994,0.346594509,Similar
KLHL12,0.1343,0.3909,0.9994,0.40793433,Similar
ADIPOR1,-0.01156,0.9329,0.9994,0.030164907,Similar
CYB5R1,0.05057,0.798,0.9994,0.097997109,Similar
TMEM183A,0.05205,0.7779,0.9994,0.109076229,Similar
PPFIA4,0.1655,0.598,0.9994,0.223298816,Similar
MYOG,-0.509,0.1782,0.9994,0.7490923,Similar
ADORA1,-0.3691,0.2873,0.9994,0.541664374,Similar
CHI3L1,-0.5578,0.1171,0.9994,0.931443105,Similar
CHIT1,-0.4145,0.2906,0.9994,0.53670439,Similar
BTG2,-0.05435,0.8569,0.9994,0.067069857,Similar
ATP2B4,-0.05766,0.8509,0.9994,0.070121476,Similar
SNORA77,0.05104,0.8685,0.9994,0.061230177,Similar
LINC00260,-0.1167,0.763,0.9994,0.117475462,Similar
ZC3H11A,-0.02078,0.9119,0.9994,0.040052784,Similar
ZBED6,-0.2647,0.4868,0.9994,0.31264943,Similar
SNRPE,-0.05077,0.8094,0.9994,0.0918368,Similar
SOX13,-0.05145,0.88,0.9994,0.055517328,Similar
ETNK2,0.03639,0.8934,0.9994,0.048954052,Similar
GOLT1A,0.2499,0.5191,0.9994,0.284748971,Similar
PLEKHA6,0.0681,0.8132,0.9994,0.08980263,Similar
PPP1R15B,0.04366,0.8879,0.9994,0.051635944,Similar
PIK3C2B,0.2444,0.3604,0.9994,0.443215218,Similar
MDM4,-0.2376,0.475,0.9994,0.32330639,Similar
NFASC,0.3667,0.2902,0.9994,0.537302592,Similar
CNTN2,0.09547,0.7892,0.9994,0.102812923,Similar
RBBP5,0.06106,0.6772,0.9994,0.169283051,Similar
TMCC2,0.3275,0.1692,0.9994,0.771599641,Similar
NUAK2,0.01404,0.9491,0.9994,0.022688027,Similar
LOC284576,0.1671,0.6677,0.9994,0.175418624,Similar
